IN01-COREUNITS
Core Units in Undergraduate Information Technology
Yellow
IFB102,0.0,1,Core
IFB103,7.0,1,Core
IFB104,2.0,1,Core
IFB105,5.0,1,Core
BSB305,2.0,4.5,Option
CAB201,1.0,3.0,Option
CAB202,0.0,3.0,Option
CAB210,9.0,3.0,Option
CAB230,2.0,3.0,Option
CAB240,5.0,4.5,Option
IAB201,5.0,3.0,Option
IAB202,8.0,3.0,Option
IAB206,4.0,3.0,Option
IAB207,6.0,3.0,Option
IAB230,3.0,3.0,Option
IAB250,7.0,3.0,Option
IGB180,3.0,4.5,Option
MZB151,4.0,4.5,Option

IN01MJR-COMPSC
Computer Science Major
Cyan
CAB201,2.0,1,Core
CAB202,1.0,1.5,Core
CAB203,3.0,1,Core
CAB301,2.0,2.5,Core
CAB302,4.0,2.0,Core
CAB303,0.0,1.5,Core
IFB295,6.0,2.0,Core
IFB398,6.0,3.0,Core
IFB399,6.0,4.0,Core
CAB401,2.0,3.5,Option
CAB402,3.0,3.5,Option
CAB403,1.0,3.5,Option
CAB420,4.0,3.5,Option

IN01MNR-CENTRIC
Data-Centric Computing Extension Minor
#ff9900
CAB230,5.5,1.5,Core
CAB330,5.0,2.5,Core
CAB220,4.0,1.5,Option
CAB320,2.0,2.5,Option
CAB401,0.0,3.5,Option
CAB430,3.5,3.5,Option
CAB431,1.0,3.5,Option

IN01MNR-INTLSYS
Intelligent Systems Minor
#7777ff
CAB320,0,3,Core
EGB339,2.0,3,Core
MXB103,0,1,Core
CAB201,1.0,2,Option
CAB420,1.0,4,Option

IN01MNR-NETWSEC
Network and Security Minor
#ff0099
CAB230,0,1,Option
CAB240,2.0,1,Option
CAB340,3.0,2,Option
CAB440,1.0,3.0,Option
CAB441,1.5,4.0,Option


